drill_id,hole_idx,mic_type,mic_id,position,fail,filepath_wav,start_sample,end_sample,duration_s,sample_rate,source_file
01,1,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h01_com_1_ext.wav,0,7731712,80.53866666666667,96000,250129_003_Tr1.WAV
01,2,com,1,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h02_com_1_ext_jam.wav,8178688,10017792,19.157333333333334,96000,250129_003_Tr1.WAV
01,3,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h03_com_1_ext.wav,10600960,12247040,17.14666666666667,96000,250129_003_Tr1.WAV
01,4,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h04_com_1_ext.wav,13424128,14560256,11.834666666666667,96000,250129_003_Tr1.WAV
01,5,com,1,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h05_com_1_ext_jam.wav,15686656,17036288,14.058666666666667,96000,250129_003_Tr1.WAV
01,6,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h06_com_1_ext.wav,17806336,18087936,2.933333333333333,96000,250129_003_Tr1.WAV
01,7,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h07_com_1_ext.wav,18088448,19566080,15.392,96000,250129_003_Tr1.WAV
01,8,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h08_com_1_ext.wav,20170752,21475840,13.594666666666667,96000,250129_003_Tr1.WAV
01,9,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h09_com_1_ext.wav,22758400,23819776,11.056,96000,250129_003_Tr1.WAV
01,10,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h10_com_1_ext.wav,25030144,26238464,12.586666666666666,96000,250129_003_Tr1.WAV
01,11,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h11_com_1_ext.wav,27412480,27934720,5.44,96000,250129_003_Tr1.WAV
01,12,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h12_com_1_ext.wav,27943424,28592128,6.757333333333333,96000,250129_003_Tr1.WAV
01,13,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h13_com_1_ext.wav,29414400,29675520,2.72,96000,250129_003_Tr1.WAV
01,14,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h14_com_1_ext.wav,29676544,30948352,13.248,96000,250129_003_Tr1.WAV
01,15,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h15_com_1_ext.wav,31924224,33163264,12.906666666666666,96000,250129_003_Tr1.WAV
01,16,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h16_com_1_ext.wav,33803776,34272768,4.8853333333333335,96000,250129_003_Tr1.WAV
01,17,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h17_com_1_ext.wav,34396160,35583488,12.368,96000,250129_003_Tr1.WAV
01,18,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h18_com_1_ext.wav,36699648,37754368,10.986666666666666,96000,250129_003_Tr1.WAV
01,19,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h19_com_1_ext.wav,39050752,40264704,12.645333333333333,96000,250129_003_Tr1.WAV
01,20,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h20_com_1_ext.wav,41372672,42390528,10.602666666666666,96000,250129_003_Tr1.WAV
01,21,com,1,ext,0,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\segmented\01\01_h21_com_1_ext.wav,43712000,44833280,11.68,96000,250129_003_Tr1.WAV
