drill_id,hole_idx,mic_type,mic_id,position,fail,filepath_wav,start_sample,end_sample,duration_s,sample_rate,source_file,aug_version
01,2,com,1,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug1.wav,8178688,10017792,19.157333333333334,96000,250129_003_Tr1.WAV,1
01,2,com,1,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug2.wav,8178688,10017792,19.157333333333334,96000,250129_003_Tr1.WAV,2
01,5,com,1,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug1.wav,15686656,17036288,14.058666666666667,96000,250129_003_Tr1.WAV,1
01,5,com,1,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug2.wav,15686656,17036288,14.058666666666667,96000,250129_003_Tr1.WAV,2
01,2,com,2,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug1.wav,8178176,8690688,5.338666666666667,96000,250129_003_Tr2.WAV,1
01,2,com,2,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug2.wav,8178176,8690688,5.338666666666667,96000,250129_003_Tr2.WAV,2
01,5,com,2,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug1.wav,13424640,14627840,12.533333333333333,96000,250129_003_Tr2.WAV,1
01,5,com,2,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug2.wav,13424640,14627840,12.533333333333333,96000,250129_003_Tr2.WAV,2
01,2,com,3,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug1.wav,8178688,10132480,20.352,96000,250129_003_Tr3.WAV,1
01,2,com,3,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug2.wav,8178688,10132480,20.352,96000,250129_003_Tr3.WAV,2
01,5,com,3,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug1.wav,13069824,13307904,2.48,96000,250129_003_Tr3.WAV,1
01,5,com,3,ext,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug2.wav,13069824,13307904,2.48,96000,250129_003_Tr3.WAV,2
01,2,com,4,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug1.wav,8169472,8387072,2.2666666666666666,96000,250129_003_Tr4.WAV,1
01,2,com,4,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug2.wav,8169472,8387072,2.2666666666666666,96000,250129_003_Tr4.WAV,2
01,5,com,4,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug1.wav,12247552,12467712,2.2933333333333334,96000,250129_003_Tr4.WAV,1
01,5,com,4,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug2.wav,12247552,12467712,2.2933333333333334,96000,250129_003_Tr4.WAV,2
01,2,com,5,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug1.wav,8177664,8449536,2.832,96000,250129_003_Tr5.WAV,1
01,2,com,5,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug2.wav,8177664,8449536,2.832,96000,250129_003_Tr5.WAV,2
01,5,com,5,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug1.wav,12247552,12467200,2.288,96000,250129_003_Tr5.WAV,1
01,5,com,5,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h05_aug2.wav,12247552,12467200,2.288,96000,250129_003_Tr5.WAV,2
01,2,com,6,int,1,C:\Users\beatr\OneDrive\Desktop\Projeto_Brocas_AE\data\augmented_noise\01\01_h02_aug1.wav,8389632,8591872,2.1066666666666665,96000,250129_003_Tr6.WAV,1
